Rank	NCT Number	Title	Recruitment	Study Results	Conditions	Interventions	Sponsor/Collaborators	Gender	Age Groups	Phases	Enrollment	Funded Bys	Study Types	Study Designs	Other IDs	First Received	Start Date	Completion Date	Last Updated	Last Verified	Results First Received	Acronym	Primary Completion Date	Outcome Measures	URL
11	NCT01993784	Study of Nimotuzumab to Treat Esophageal Squamous Cell Carcinoma.	Recruiting	No Results Available	Esophageal Squamous Cell Cancer	Drug: nimotuzumab	Peking University	Both	Adult|Senior	Phase 1|Phase 2	9	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ESCC-N-301	16-Aug-13	Aug-13	Jun-14	20-Nov-13	Nov-13	No Study Results Posted	null	Mar-14	Objective response rate|adverse events	http://ClinicalTrials.gov/show/NCT01993784
12	NCT01496521	Chemoprevention of Esophageal Squamous Cell Carcinoma (ESCC) With Aspirin and Tea Polyphenols	Not yet recruiting	No Results Available	"Carcinoma, Squamous Cell"	Drug: Aspirin|Dietary Supplement: Tea Polyphenols	Beijing Friendship Hospital	Both	Adult	Phase 3	600	Other	Interventional	"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)"	CREAT	15-Dec-11	Jan-12	Jan-13	17-Dec-11	Dec-11	No Study Results Posted	CREAT	Jun-12	occurrence of high grade dysplasia and invasive ESCC|the mortality of the participants|Number of participants with adverse events.	http://ClinicalTrials.gov/show/NCT01496521
13	NCT01398449	"Is ENI Necessary For Patients With Thoracic Esophageal Cancer After Esophagectomy And With Pathological Stage Of T1-2,N+,M0"	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Radiation: Elective nodal irradiation (ENI)|Other: Adjuvant chemotherapy only	"Fudan University|The First Affiliated Hospital of Soochow University|NANTONG TUMOR HOSPITAL|Jiangsu Cancer Institute & Hospital|Affiliated Hospital of Jiangsu University|Zhejiang Cancer Hospital|Wenzhou Medical University|Zhejiang University|The First Affiliated Hospital of Anhui Medical University|Anhui Provincial Hospital|Fujian Cancer Hospital|Shanghai Chest Hospital|Shanghai Pulmonary Hospital, Shanghai, China|RenJi Hospital"	Both	Adult|Senior	Phase 3	874	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	2011ESO_FU_02	13-Jul-11	Apr-11	Dec-17	19-Jul-11	Mar-11	No Study Results Posted	null	Dec-15	Overall survival|Locoregional control rate|Safety and Tolerability (incidence rate of adverse events)|Failure pattern	http://ClinicalTrials.gov/show/NCT01398449
14	NCT00815308	Erbitux Combined With Chemo-radiotherapy in Esophageal Squamous Cell Carcinoma	Completed	Has Results	Esophageal Cancer	Drug: cetuximab (Erbitux)|Drug: Paclitaxel|Drug: Cisplatin|Radiation: Radiation	Shandong Cancer Hospital and Institute|Chinese Academy of Medical Sciences|Beijing Cancer Hospital|Hebei Fourth Hospital|Jiangsu Cancer Institute & Hospital|RenJi Hospital|The Affiliated Cancer Hospital of Zhengzhou University|West China Hospital	Both	Adult|Senior	Phase 2	55	Other	Interventional	Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	SDRTC-0901	29-Dec-08	Jan-09	Jul-10	4-Feb-11	Jul-09	15-Oct-10	EXCEL	Jul-10	Number of Participants With Overall Response Rate (RR)|Number of Participants With Toxicity|Participants With Overall Survival (OS) at 1 Year|Participants With Overall Survival (OS) at 3 Year|Participants With Progression Free Survival (PFS)|Number of Participants With K-ras Gene Mutation	http://ClinicalTrials.gov/show/NCT00815308
15	NCT01831531	Study of S-1 in Combination With Radiotherapy in Esophageal Cancer	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: S-1|Radiation: Radiation therapy	Fudan University	Both	Adult|Senior	Phase 2	105	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ESO2013-01	11-Apr-13	Mar-13	Mar-18	13-Apr-13	Apr-13	No Study Results Posted	null	Mar-15	Number of participants with adverse events|1-yr local control rate|2-yr local control rate|3-yr local control rate|1-yr overall survival|2-yr overall survival|3-yr overall survival	http://ClinicalTrials.gov/show/NCT01831531
16	NCT01670409	Study of Simultaneous Modulated Accelerated Radiation Therapy Concurrent With Chemotherapy to Treat Esophageal Cancer	Recruiting	No Results Available	Esophageal Neoplasms	Radiation: SMART|Drug: PF	Chuangzhen Chen|Shantou University Medical College	Both	Adult|Senior	Phase 2	85	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	SUMC-ECA-001|ChiCTR-ONC-12002356	12-Aug-12	Aug-12	Sep-16	19-Nov-14	Nov-14	No Study Results Posted	null	Sep-16	Toxicities|local control rate|overall survival rate	http://ClinicalTrials.gov/show/NCT01670409
17	NCT02033538	Neoadjuvant Chemotherapy of Nanoparticle Albumin-bound Paclitaxel in Squamous Cell Carcinoma of Esophagus	Withdrawn	No Results Available	Squamous Cell Carcinoma of Esophagus	Drug: nanoparticle albumin-bound paclitaxel	Zhejiang University	Both	Adult|Senior	Phase 2	0	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ZYTOP1403	16-Dec-13	Jan-14	Dec-16	4-Mar-15	Mar-15	No Study Results Posted	null	Dec-15	response rate|Overall survival|Progression-free survival|Adverse events	http://ClinicalTrials.gov/show/NCT02033538
18	NCT02041819	Neoadjuvant Chemotherapy of Nimotuzumab Plus Nab-Paclitaxel in Squamous Cell Carcinoma of Esophagus	Withdrawn	No Results Available	Squamous Cell Carcinoma of Esophagus	Drug: Nimotuzumab	Zhejiang University	Both	Adult|Senior	Phase 2	0	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ZYTOP1405	10-Jan-14	Feb-14	Jan-17	4-Mar-15	Mar-15	No Study Results Posted	null	Jan-16	response rate|Overall survival|Progression-free survival|Adverse events	http://ClinicalTrials.gov/show/NCT02041819
19	NCT01930630	ESI With EUS to Differentiate T3 and T4 ESCC	Not yet recruiting	No Results Available	Esophageal Cancer	Device: Extraesophageal saline injection (ESI)	Sun Yat-sen University	Both	Adult	Phase 1	10	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label	ESI-2013|2012-FXY-006	20-Aug-13	Oct-13	Oct-14	22-Aug-13	Aug-13	No Study Results Posted	ESI	Sep-14	Number of participants with adverse events|Efficacy of extraesophageal saline separating esophagus from adjacent organs detected by EUS or computerized tomography (CT) just after ESI	http://ClinicalTrials.gov/show/NCT01930630
20	NCT02319187	Irinotecan Plus S1 Versus S1 in Patients With Previously Treated Advanced Esophageal Cancer: ESWN 01 Trial	Recruiting	No Results Available	Esophageal Neoplasms	Drug: S1|Drug: S-1|Drug: irinotecan	Chinese Academy of Medical Sciences	Both	Adult|Senior	Phase 3	240	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	CH-GI-064	9-Dec-14	Dec-14	Jun-17	1-Jan-15	Dec-14	No Study Results Posted	null	Dec-16	progression free survival|Adverse  Events|overall survival|response rate|quality of life	http://ClinicalTrials.gov/show/NCT02319187
21	NCT02025036	Chemoradiotherapy of Capecitabine With or Without Oxaliplatin Versus Cisplatin-5-FU for Esophageal Squamous Cancer	Recruiting	No Results Available	Stage III Esophageal Squamous Cell Carcinoma|Stage II Esophageal Squamous Cell Carcinoma	Drug: Capecitabine(Aibin)|Drug: Oxaliplatin(Aiheng)|Radiation: Radiotherapy	The First Affiliated Hospital of Henan University of Science and Technology	Both	Adult|Senior	Phase 3	495	Other	Interventional	"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject,  Caregiver,  Investigator,  Outcomes Assessor)"	FirstHenanUST	17-Nov-13	Oct-14	Dec-22	5-Dec-14	Jul-14	No Study Results Posted	CRTCOESC	Dec-17	"overall survival, OS|progression-free survival|overall remission rate, ORR|serious adverse event|quality of life, Qol|pathologic complete response rate|R0 resection rate"	http://ClinicalTrials.gov/show/NCT02025036
22	NCT01688908	Efficacy of Endoscopy Screening on Esophageal Cancer in China (ESECC)	Recruiting	No Results Available	Esophageal Squamous Cell Carcinomas	Procedure: Endoscopy Screening	Peking University	Both	Adult|Senior		32000	Other	Interventional	Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Screening|Masking: Single Blind (Outcomes Assessor)	201202014	17-Sep-12	Jan-12	Dec-22	17-Sep-12	Sep-12	No Study Results Posted	ESECC	Dec-17	Esophageal cancer specific mortality|Cumulative incidence of advanced esophageal cancer	http://ClinicalTrials.gov/show/NCT01688908
23	NCT02011594	Phase II Study of Maintenance Treatment of Nimotuzumab for Advanced Esophageal Carcinoma	Withdrawn	No Results Available	Stage IV Esophageal Squamous Cell Carcinoma	Drug: Nimotuzumab|Drug: Placebo	Zhejiang University	Both	Adult|Senior	Phase 2	0	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	ZYTOP1407	7-Dec-13	Jan-14	Feb-15	11-Feb-15	Feb-15	No Study Results Posted	null	Jan-15	PFS (Progression free survival)|Objective Response Rate|Overall survival (OS)|Disease control rate (DCR)	http://ClinicalTrials.gov/show/NCT02011594
24	NCT01137123	Improve the Treatment of Thoracic Esophageal Cancer	Recruiting	No Results Available	Thoracic Esophageal Squamous Cell Carcinoma	Drug: adjuvant chemotherapy|Procedure: standard two field Lymphadenectomy|Procedure: Total two field Lymphadenectomy|Procedure: three field Lymphadenectomy	Sun Yat-sen University	Both	Child|Adult|Senior	Phase 3	2615	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Factorial Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	2007044	3-Jun-10	Apr-10	Sep-16	19-Oct-12	Apr-10	No Study Results Posted	null	Jan-13	survival rate	http://ClinicalTrials.gov/show/NCT01137123
25	NCT02094105	Endoscopic Screening on Esophageal Cancer	Completed	No Results Available	Esophageal Squamous Cell Carcinoma	Procedure: Endoscopy examination with iodine staining	Chinese Academy of Medical Sciences	Both	Adult|Senior		45386	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label	ESCC01	20-Mar-14	Nov-99	Dec-13	20-Mar-14	Mar-14	No Study Results Posted	null	Dec-09	"incidence and mortality of ESCC|Cumulative incidence and mortality of total cancer, and gastric cardia cancer"	http://ClinicalTrials.gov/show/NCT02094105
26	NCT01745107	Efficacy of Intensity Modulated Radiation Therapy After Surgery in Early Stage of Esophageal Carcinoma;	Recruiting	No Results Available	Esophageal Neoplasm|Esophageal Cancer TNM Staging Primary Tumor (T) T2|Esophageal Cancer TNM Staging Primary Tumor (T) T3|Esophageal Cancer TNM Staging Regional Lymph Nodes (N) N0|Esophageal Cancer TNM Staging Distal Metastasis (M) M0	Radiation: Prophylactic postoperative radiation therapy	Chinese Academy of Medical Sciences|Sichuan Cancer Hospital and Research Institute|Tianjin Medical University Cancer Institute and Hospital	Both	Adult|Senior	Phase 3	240	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label	Z121107001012004	6-Dec-12	Nov-12	Nov-20	28-Dec-12	Dec-12	No Study Results Posted	IMRT	Nov-15	Disease-free survival time|overall survival time	http://ClinicalTrials.gov/show/NCT01745107
27	NCT02047305	Radiofrequency Ablation for Patients With Esophageal Squamous Cell Neoplasia	"Active, not recruiting"	No Results Available	ESOPHAGEAL SQUAMOUS CELL CARCINOMA	Device: Radiofrequency Ablation	"Covidien, GI Solutions"	Both	Adult|Senior		100	Industry	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	B300	24-Jan-14	Jan-09	Sep-16	12-Mar-15	Jan-14	No Study Results Posted	null	Aug-11	Complete response|Safety	http://ClinicalTrials.gov/show/NCT02047305
28	NCT01973725	Study of Icotinib Hydrochloride in Treating Patients With Recurrent or Metastatic Esophageal Cancer After Failure of Conventional Chemotherapy	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: Icotinib Hydrochloride	Yuhong Li|Sun Yat-sen University	Both	Adult|Senior	Phase 2	50	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ICO-29	25-Oct-13	Oct-13	Dec-15	17-Sep-14	Sep-14	No Study Results Posted	null	Dec-15	Disease control rate|Overall survival|Time to progression|Safety|Quality of life	http://ClinicalTrials.gov/show/NCT01973725
29	NCT02350517	Endostar Combined With Paclitaxel and Nedaplatin in Treating Patients With Recurrent or Metastatic Esophageal Cancer	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: Paclitaxel+Nedaplatin+Endostar	Yuhong Li|Sun Yat-sen University	Both	Adult|Senior	Phase 2	52	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	Endo-17	24-Jan-15	Jan-15	Dec-18	24-Jan-15	Jan-15	No Study Results Posted	null	Dec-17	Progression free survival|Overall survival|Overall response rate (ORR)|Number of participants with AEs and SAEs as a measure of Safety|Quality of life	http://ClinicalTrials.gov/show/NCT02350517
30	NCT02034968	Nimotuzumab Plus Nab-paclitaxel and Cisplatin in Treating Patients With Advanced Esophageal Carcinoma	Withdrawn	No Results Available	Stage IV Esophageal Squamous Cell Carcinoma	Drug: Nimotuzumab	Zhejiang University	Both	Adult|Senior	Phase 2	0	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	ZYTOP1406	10-Jan-14	Feb-14	Jan-17	4-Mar-15	Mar-15	No Study Results Posted	null	Jan-16	Progression free survival(PFS)|Objective Response Rate	http://ClinicalTrials.gov/show/NCT02034968
31	NCT02016274	Sequential Paclitaxel Plus Cisplatin Chemotherapy and Radiotherapy as 1st Line Treatment for Esophageal Squamous Cell Cancer	Recruiting	No Results Available	Esophageal Squamous Cell Cancer	"Other: Sequential chemotherapy (paclitaxel 175mg/m2 d1; cisplatin 37.5mg/m2 d1,d2) and radiotherapy"	Shen Lin|Peking University	Both	Adult|Senior	Phase 2	70	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CGOG7001	7-Dec-13	Dec-13	Jul-16	13-Dec-13	Dec-13	No Study Results Posted	null	Dec-15	progression free survival|overall survival	http://ClinicalTrials.gov/show/NCT02016274
32	NCT02016287	Sequential Paclitaxel Chemotherapy and Radiotherapy as 1st Line Treatment for Elderly Esophageal Squamous Cell Cancer	Recruiting	No Results Available	Esophageal Squamous Cell Cancer|Elderly Patients	"Other: Sequential chemotherapy （paclitaxel 80mg/m2 d1,d8) and radiotherapy"	Shen Lin|Peking University	Both	Senior	Phase 2	50	Other	Interventional	Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CGOG7002	7-Dec-13	Dec-13	Jul-16	13-Dec-13	Dec-13	No Study Results Posted	null	Dec-15	progression free survival|overall survival	http://ClinicalTrials.gov/show/NCT02016287
33	NCT02133612	Adjuvant Chemotherapy With Paclitaxel and Cisplatin in Lymph Node-Positive Thoracic Esophageal Squamous Cell Carcinoma	Completed	No Results Available	Esophageal Cancer	Drug: paclitaxel; cisplatin	Chinese Academy of Medical Sciences	Both	Adult|Senior	Phase 2	43	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	CH-GI-026	5-May-14	Dec-07	May-14	6-May-14	May-14	No Study Results Posted	null	May-12	3 year overall survival|3 year disease-free survival	http://ClinicalTrials.gov/show/NCT02133612
34	NCT01854749	S1 Combined With Cisplatin in Treatment of Recurrence/Metastasis of ESCC Open-label Single Center Phase II Clinical Study	Recruiting	No Results Available	Esophageal Squamous Cell Carcinoma	Drug: S1 combined with cisplatin	Fudan University	Both	Adult|Senior	Phase 2	48	Other	Interventional	Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label	S1- ESCC -CJH	10-May-13	Nov-11	null	13-May-13	May-13	No Study Results Posted	null	Dec-13	Progression Free Survival	http://ClinicalTrials.gov/show/NCT01854749
35	NCT01630174	IMRT/Pemetrexed/Cisplatin in Esophageal Cancer	Recruiting	No Results Available	Esophageal Cancer		Shandong Cancer Hospital and Institute	Both	Adult|Senior		30	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	phase 1 pem IMRT	27-Jun-12	Oct-09	null	27-Jun-12	Jun-12	No Study Results Posted	null	null		http://ClinicalTrials.gov/show/NCT01630174
36	NCT01216527	Phase III Study of Neo-adjuvant Chemoradiotherapy Followed by Surgery for Squamous Cell Esophageal Cancer	Recruiting	No Results Available	Squamous Cell Esophageal Carcinoma	Procedure: Neo-adjuvant Chemoradiotherapy followed by Surgery|Procedure: surgery	Sun Yat-sen University|Cancer Hospital of Shantou University|Shanghai Chest Hospital|Fudan University|Zhejiang Cancer Hospital|Taizhou Hospital|The Second People's Hospital of Sichuan|Tianjin Medical University Cancer Institute and Hospital	Both	Adult|Senior	Phase 3	430	Other	Interventional	Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor)	2007048	6-Oct-10	Jun-07	Dec-19	23-Nov-14	Nov-14	No Study Results Posted	null	Dec-19	Overall survival rate|toxicities of neo-adjuvant chemoradiotherapy|assessment in perioperation|efficacy of neo-adjuvant chemoradiotherapy|Disease free survival rate	http://ClinicalTrials.gov/show/NCT01216527
